id_colaborador,nome,genero,nivel,data_admissao,data_promocao,salario_base,percentual_bonus,id_departamento,id_filial,id_reporta_a,processos_actifs,horas_extras_mes,score_satisfacao,home_office,status_atual
46,Tatiana Mendes,Feminino,Pleno,2021-09-14,,6244.57,18,10,2,501,26,16,3.7,False,Desligado
47,Vitor Xavier,Não-binário,Pleno,2020-05-03,2022-03-11,5797.7,12,40,3,100,17,19,3.3,False,Ativo
48,Vitor Xavier,Não-binário,Pleno,2022-08-20,,6194.43,20,40,4,200,20,22,4.3,False,Desligado
49,Hugo Ribeiro,Não-binário,Júnior,2025-10-25,,3723.48,1,40,1,300,26,11,4.5,True,Ativo
50,Vitor Xavier,Feminino,Júnior,2024-02-10,,4834.13,4,40,4,200,30,3,4.6,False,Ativo
51,Felipe Costa,Masculino,Sênior,2020-04-13,2026-04-12,9910.59,30,40,4,400,17,12,3.9,True,Desligado
52,Bruno Souza,Não-binário,Júnior,2025-04-10,,3632.09,8,30,4,501,26,15,3.3,False,Ativo
53,Olivia Barbosa,Não-binário,Júnior,2024-02-22,,3805.34,10,30,4,300,31,9,4.5,True,Ativo
54,Hugo Ribeiro,Feminino,Júnior,2024-04-26,,4192.17,7,10,4,200,27,9,4.0,False,Ativo
55,Renata Pinto,Não-binário,Júnior,2024-05-19,,4796.04,4,40,2,501,35,11,4.7,False,Ativo
56,Samuel Teixeira,Masculino,Sênior,2019-09-19,2024-09-17,11197.45,27,40,2,502,19,15,3.3,False,Ativo
57,Elena Rodrigues,Masculino,Sócio,2017-07-21,2020-05-23,18802.92,49,40,4,,12,6,3.9,True,Ativo
58,Isabela Carvalho,Masculino,Pleno,2021-11-24,2023-10-09,7449.51,15,20,1,100,67,50,1.7,True,Ativo
59,João Lima,Não-binário,Júnior,2024-08-20,,4620.15,4,10,2,100,12,3,3.8,False,Ativo
60,Natan Alves,Masculino,Pleno,2020-10-25,2022-02-27,7197.78,19,30,3,200,19,17,4.8,True,Ativo
61,Isabela Carvalho,Não-binário,Sênior,2019-07-31,2024-07-29,11593.64,25,20,4,400,56,53,1.4,True,Ativo
62,Gabriela Almeida,Masculino,Pleno,2022-02-26,,5819.96,10,30,4,502,24,10,3.2,True,Desligado
63,Hugo Ribeiro,Masculino,Sênior,2020-05-28,2025-05-27,10627.82,23,10,4,100,13,11,4.6,True,Ativo
64,João Lima,Feminino,Pleno,2021-10-31,2023-05-31,5896.48,12,30,2,300,27,11,4.5,False,Ativo
65,Elena Rodrigues,Feminino,Pleno,2024-03-24,,8080.42,11,10,4,400,12,10,4.2,True,Ativo
66,Mariana Rocha,Não-binário,Pleno,2023-07-31,2025-02-05,6201.47,19,30,3,400,32,4,4.3,True,Ativo
67,Elena Rodrigues,Feminino,Júnior,2024-02-16,,4919.39,7,30,4,502,23,19,4.0,False,Ativo
68,Diego Santos,Não-binário,Pleno,2022-09-29,2024-08-09,8354.56,13,20,4,502,48,56,1.5,False,Ativo
69,Isabela Carvalho,Masculino,Júnior,2024-07-13,,4952.31,5,30,1,200,19,6,4.6,False,Ativo
70,Gabriela Almeida,Não-binário,Júnior,2024-08-26,,3992.84,4,10,2,100,17,5,4.4,False,Ativo
71,Hugo Ribeiro,Masculino,Pleno,2023-04-20,,6022.74,11,20,1,100,59,46,1.7,True,Desligado
72,Bruno Souza,Não-binário,Júnior,2025-11-05,,4282.18,10,40,2,400,15,17,4.5,True,Ativo
73,Vitor Xavier,Masculino,Sócio,2013-08-30,2016-10-07,23697.22,47,10,1,,31,15,3.4,False,Ativo
74,Olivia Barbosa,Masculino,Júnior,2024-08-21,,4120.72,10,10,2,502,20,13,4.9,False,Ativo
75,Carla Oliveira,Feminino,Pleno,2020-07-09,,7733.77,20,40,1,400,25,13,4.8,False,Desligado
76,João Lima,Não-binário,Júnior,2024-12-26,,3655.4,5,10,3,400,15,10,4.2,True,Ativo
77,Felipe Costa,Feminino,Sênior,2018-07-14,2023-07-13,10316.33,22,10,3,200,12,4,4.1,False,Desligado
78,Kamila Pereira,Masculino,Pleno,2020-11-18,2022-05-26,6473.15,12,40,4,502,13,4,3.7,False,Ativo
79,Olivia Barbosa,Não-binário,Sênior,2019-04-29,2024-04-27,11053.28,35,40,4,501,21,3,3.6,False,Desligado
80,João Lima,Feminino,Pleno,2021-03-08,2022-05-17,6368.34,12,10,1,502,29,9,4.1,True,Ativo
81,Bruno Souza,Masculino,Sócio,2016-11-21,2019-09-06,21434.27,47,30,1,,24,2,4.9,False,Ativo
82,Lucas Martins,Não-binário,Júnior,2024-03-31,,4155.07,5,20,4,100,52,45,2.1,False,Ativo
83,Lucas Martins,Masculino,Júnior,2025-10-22,,4722.56,1,10,2,501,17,22,4.1,True,Ativo
84,Kamila Pereira,Não-binário,Pleno,2020-11-05,,6906.76,15,40,3,100,14,11,4.0,False,Desligado
85,Carla Oliveira,Masculino,Júnior,2025-10-22,,4796.38,9,10,3,400,32,8,3.8,False,Ativo
86,Diego Santos,Masculino,Júnior,2024-12-17,,4973.58,8,20,1,300,64,40,1.5,False,Ativo
87,Vitor Xavier,Masculino,Sênior,2017-04-18,2022-04-17,12552.71,24,40,4,300,30,6,4.9,False,Ativo
88,Carla Oliveira,Não-binário,Pleno,2021-09-26,2023-07-09,7874.99,20,40,2,300,25,18,3.9,True,Ativo
89,Kamila Pereira,Feminino,Júnior,2025-05-12,,3788.01,5,30,2,200,31,6,4.3,True,Ativo
90,Vitor Xavier,Não-binário,Sênior,2021-07-15,2025-07-14,11139.35,29,20,2,400,62,42,1.4,False,Ativo
91,Tatiana Mendes,Não-binário,Pleno,2022-06-21,,6345.32,19,20,3,300,53,36,1.9,False,Desligado
92,Carla Oliveira,Masculino,Pleno,2024-04-11,,6847.96,17,10,1,501,12,15,3.3,True,Ativo
93,Carla Oliveira,Masculino,Sênior,2019-02-07,2023-02-06,13276.29,24,30,2,400,27,6,4.6,True,Ativo
94,Ana Silva,Feminino,Pleno,2021-06-08,2022-09-26,7146.41,13,40,1,502,15,3,3.6,False,Ativo
95,Pedro Gomes,Feminino,Sênior,2020-05-07,2023-05-07,12733.45,31,40,1,100,25,7,4.4,True,Desligado
96,Samuel Teixeira,Não-binário,Júnior,2025-06-03,,4679.62,4,30,1,100,35,2,4.1,False,Ativo
97,Diego Santos,Não-binário,Júnior,2025-08-18,,4602.78,7,30,2,200,34,17,4.3,False,Ativo
98,João Lima,Feminino,Sênior,2018-02-17,2021-02-16,10920.18,35,10,4,100,32,8,3.7,True,Desligado
99,Lucas Martins,Feminino,Júnior,2025-03-23,,4834.23,5,30,3,502,28,10,4.6,False,Ativo
100,Vitor Xavier,Masculino,Pleno,2021-01-04,2022-10-10,5807.79,12,40,1,300,23,16,3.3,False,Ativo
101,Bruno Souza,Não-binário,Sênior,2017-06-03,2023-06-02,12557.35,34,40,3,300,14,9,4.6,False,Ativo
102,Bruno Souza,Não-binário,Júnior,2025-09-11,,3730.16,5,30,4,200,24,12,4.4,False,Ativo
103,Felipe Costa,Não-binário,Sócio,2017-08-06,2021-10-14,20082.32,49,10,1,,34,17,3.6,True,Ativo
104,Felipe Costa,Masculino,Pleno,2023-12-31,,5763.37,11,20,1,200,62,44,2.2,False,Ativo
105,Hugo Ribeiro,Não-binário,Pleno,2020-09-05,,7876.2,17,20,3,100,49,54,2.2,True,Desligado
106,Pedro Gomes,Não-binário,Júnior,2025-06-22,,4116.19,7,30,4,501,33,18,3.8,False,Ativo
107,Renata Pinto,Masculino,Sênior,2021-11-14,2024-11-13,10868.56,31,20,2,501,47,43,1.3,False,Desligado
108,João Lima,Não-binário,Júnior,2025-09-21,,4300.22,9,30,2,501,35,21,3.8,False,Ativo
109,Bruno Souza,Feminino,Pleno,2023-08-06,,6293.97,17,10,1,300,29,11,4.4,False,Ativo
110,Mariana Rocha,Não-binário,Pleno,2021-09-01,,7565.84,15,40,2,300,16,12,4.8,True,Desligado
111,Lucas Martins,Feminino,Júnior,2025-06-11,,4342.48,0,30,4,400,21,14,4.8,True,Ativo
112,Tatiana Mendes,Masculino,Pleno,2024-01-16,2025-06-24,5978.03,10,20,2,200,57,51,1.6,False,Ativo
113,Bruno Souza,Feminino,Pleno,2021-07-30,2023-04-09,8028.55,16,20,3,400,53,58,1.5,False,Ativo
114,Bruno Souza,Masculino,Júnior,2025-08-06,,4342.73,10,30,1,100,31,5,3.4,True,Ativo
115,Samuel Teixeira,Masculino,Sênior,2019-01-19,2023-01-18,11750.35,30,40,3,501,26,6,4.2,True,Ativo
116,Kamila Pereira,Não-binário,Pleno,2020-11-28,,7349.5,19,20,3,502,60,35,1.5,True,Desligado
117,João Lima,Não-binário,Pleno,2024-01-25,2026-01-11,7290.73,10,10,4,502,27,7,4.1,True,Ativo
118,Hugo Ribeiro,Não-binário,Pleno,2020-03-05,,7601.56,16,40,2,400,25,18,4.6,False,Desligado
119,Gabriela Almeida,Não-binário,Pleno,2023-02-22,,7486.68,18,10,2,502,29,13,4.4,False,Desligado
120,Hugo Ribeiro,Feminino,Júnior,2024-10-12,,4337.13,5,30,4,502,27,13,4.2,False,Ativo
121,Tatiana Mendes,Feminino,Júnior,2025-11-23,,4314.79,4,30,3,400,34,4,3.8,False,Ativo
122,Gabriela Almeida,Feminino,Júnior,2025-07-05,,3906.7,0,30,4,200,33,18,3.6,True,Ativo
123,Kamila Pereira,Masculino,Sócio,2017-04-18,2020-04-24,25823.29,40,10,1,,27,22,3.6,False,Ativo
124,Bruno Souza,Masculino,Sênior,2021-04-24,2024-04-23,12824.09,25,30,3,200,13,14,4.6,True,Ativo
125,João Lima,Feminino,Júnior,2025-08-04,,4404.17,8,30,1,100,26,10,3.5,True,Ativo
126,Olivia Barbosa,Não-binário,Pleno,2023-08-20,,6058.6,12,30,2,501,32,14,4.7,False,Ativo
127,Diego Santos,Masculino,Júnior,2024-07-08,,4972.53,4,30,1,501,22,11,4.2,False,Ativo
128,Lucas Martins,Não-binário,Pleno,2023-11-19,,7503.36,11,10,3,200,21,13,4.3,False,Ativo
129,Olivia Barbosa,Feminino,Júnior,2025-09-12,,4060.44,9,20,4,502,47,51,1.6,True,Ativo
130,Diego Santos,Não-binário,Pleno,2020-05-06,2022-02-10,6106.47,11,30,1,501,18,20,4.1,True,Ativo
131,Elena Rodrigues,Masculino,Júnior,2025-06-09,,4123.14,4,40,1,100,12,8,4.2,True,Ativo
132,Carla Oliveira,Não-binário,Pleno,2023-01-13,,8303.75,16,40,3,502,16,22,5.0,False,Desligado
133,Olivia Barbosa,Masculino,Júnior,2025-01-21,,4063.47,2,40,3,502,29,14,4.2,False,Ativo
134,João Lima,Feminino,Júnior,2025-04-19,,4510.25,2,20,1,502,53,41,1.7,False,Ativo
135,Natan Alves,Não-binário,Júnior,2025-09-21,,4649.08,9,10,1,100,33,3,3.6,False,Ativo
136,Samuel Teixeira,Feminino,Pleno,2021-03-20,2022-04-17,8480.45,19,40,4,200,33,12,3.6,True,Ativo
137,Isabela Carvalho,Masculino,Pleno,2020-05-04,,7275.0,10,20,4,501,65,56,1.5,False,Desligado
138,Elena Rodrigues,Masculino,Sênior,2018-09-07,2024-09-05,10584.36,34,30,4,200,25,15,4.2,True,Ativo
139,Gabriela Almeida,Masculino,Sênior,2018-11-08,2021-11-07,9916.09,21,40,2,100,33,21,4.3,False,Ativo
140,Gabriela Almeida,Masculino,Sócio,2015-09-25,2020-03-02,25696.62,38,20,2,,67,41,1.6,False,Ativo
141,Mariana Rocha,Masculino,Pleno,2022-08-12,,6577.78,11,20,3,400,55,41,1.5,False,Desligado
142,Elena Rodrigues,Não-binário,Pleno,2020-02-03,,8304.27,15,10,2,400,24,20,4.7,True,Desligado
143,Pedro Gomes,Masculino,Sócio,2017-03-02,2020-05-17,22372.37,40,30,3,,14,3,4.6,False,Ativo
144,Hugo Ribeiro,Não-binário,Júnior,2024-03-10,,4560.75,7,40,2,400,12,2,4.2,True,Ativo
145,Isabela Carvalho,Não-binário,Júnior,2025-07-02,,4966.22,8,10,1,501,16,9,3.5,True,Ativo
146,Mariana Rocha,Masculino,Júnior,2024-03-21,,4059.58,1,30,3,100,32,22,4.6,False,Ativo
147,Samuel Teixeira,Masculino,Júnior,2025-05-02,,3584.17,1,40,4,502,28,3,3.6,True,Ativo
148,Carla Oliveira,Feminino,Pleno,2023-11-02,2025-03-24,7190.53,13,40,3,300,16,14,4.9,False,Ativo
149,Mariana Rocha,Não-binário,Júnior,2025-11-24,,4844.79,1,20,2,300,58,42,2.2,False,Ativo
150,Isabela Carvalho,Feminino,Pleno,2024-05-23,,6971.81,20,40,3,501,33,14,3.4,False,Ativo
151,Carla Oliveira,Não-binário,Pleno,2020-06-17,2021-11-01,7635.03,11,30,2,300,12,11,4.0,True,Ativo
152,Felipe Costa,Feminino,Pleno,2022-06-01,,7164.22,19,10,2,400,22,14,3.2,False,Desligado
153,Samuel Teixeira,Não-binário,Júnior,2024-09-05,,4357.94,2,40,1,400,14,7,4.2,True,Ativo
154,Lucas Martins,Feminino,Pleno,2021-05-30,2022-10-03,6987.41,10,30,4,300,22,21,3.9,False,Ativo
155,Vitor Xavier,Masculino,Sócio,2013-07-11,2019-08-19,20513.47,47,40,3,,27,20,4.6,False,Ativo
156,Mariana Rocha,Masculino,Sênior,2019-01-18,2022-01-17,13987.69,20,30,4,100,26,11,4.7,True,Ativo
157,João Lima,Feminino,Sênior,2018-05-11,2023-05-10,13050.85,35,40,4,502,29,18,4.9,False,Ativo
158,Samuel Teixeira,Masculino,Pleno,2023-05-01,,5754.95,20,40,1,502,13,20,5.0,True,Desligado
159,Diego Santos,Masculino,Júnior,2024-01-11,,3647.91,5,40,3,501,24,16,4.6,False,Ativo
160,Pedro Gomes,Feminino,Júnior,2024-04-17,,3943.15,5,20,3,300,59,41,1.7,False,Ativo
161,Olivia Barbosa,Masculino,Sócio,2015-07-30,2018-09-09,24793.44,55,40,1,,35,9,4.1,False,Ativo
162,Natan Alves,Não-binário,Pleno,2022-08-04,,6715.14,10,20,3,400,51,49,1.8,True,Desligado
163,Isabela Carvalho,Feminino,Júnior,2025-12-21,,4713.09,3,10,2,400,26,5,3.7,False,Ativo
164,Mariana Rocha,Não-binário,Pleno,2023-04-17,,6555.95,20,30,4,100,22,5,3.6,False,Desligado
165,Elena Rodrigues,Não-binário,Júnior,2025-06-07,,4082.69,2,20,3,300,60,44,1.2,True,Desligado
166,Ana Silva,Masculino,Pleno,2022-09-19,,7945.65,20,40,1,100,25,16,4.1,False,Desligado
167,Bruno Souza,Masculino,Pleno,2021-07-16,2022-11-08,6004.63,19,10,2,300,20,19,4.7,True,Ativo
168,Gabriela Almeida,Não-binário,Pleno,2022-05-20,,7990.21,14,10,4,100,14,16,4.8,True,Desligado
169,Tatiana Mendes,Não-binário,Júnior,2025-12-06,,4025.95,0,20,2,501,63,46,1.7,True,Desligado
170,João Lima,Não-binário,Pleno,2021-08-15,,8357.19,16,20,3,200,53,55,1.2,True,Desligado
171,Kamila Pereira,Não-binário,Júnior,2024-09-10,,4642.21,7,20,2,100,47,55,2.1,True,Desligado
172,Lucas Martins,Não-binário,Júnior,2025-04-10,,4925.38,10,40,3,501,34,13,4.2,False,Ativo
173,Gabriela Almeida,Masculino,Sócio,2017-07-19,2021-01-13,19044.75,50,40,2,,13,5,4.3,False,Ativo
174,Felipe Costa,Feminino,Pleno,2022-06-22,2024-02-10,8374.1,12,40,1,100,14,22,3.8,True,Ativo
175,Mariana Rocha,Feminino,Pleno,2023-07-05,,7598.32,13,30,2,501,14,6,4.3,False,Ativo
176,Kamila Pereira,Feminino,Sênior,2021-08-01,2024-07-31,10094.79,22,40,1,200,22,13,4.8,False,Ativo
177,Elena Rodrigues,Não-binário,Júnior,2024-03-11,,4295.76,9,40,2,100,33,16,4.7,False,Ativo
178,Tatiana Mendes,Feminino,Júnior,2025-01-28,,4027.3,8,10,2,300,31,21,4.5,True,Ativo
179,Renata Pinto,Feminino,Júnior,2025-09-13,,4264.28,1,10,3,100,19,17,4.3,False,Ativo
180,Elena Rodrigues,Masculino,Sênior,2019-03-04,2025-03-02,12932.27,20,10,3,100,12,10,3.6,False,Ativo
181,Renata Pinto,Não-binário,Júnior,2025-03-01,,4135.36,4,40,3,200,14,18,4.9,True,Ativo
182,Carla Oliveira,Não-binário,Pleno,2021-09-27,2023-09-19,8360.28,17,30,4,502,31,3,3.8,False,Ativo
183,Elena Rodrigues,Feminino,Júnior,2025-12-19,,3517.03,2,20,1,100,68,43,2.0,True,Desligado
184,Isabela Carvalho,Masculino,Sócio,2017-11-15,2020-09-12,21969.18,51,10,3,,30,7,3.9,False,Ativo
185,Diego Santos,Não-binário,Sócio,2014-07-24,2021-06-14,19956.41,50,30,1,,17,3,4.2,True,Ativo
186,Hugo Ribeiro,Masculino,Pleno,2022-05-02,,6459.81,12,40,2,100,28,3,4.9,False,Desligado
187,Kamila Pereira,Masculino,Pleno,2020-06-25,,5523.91,17,40,3,200,30,17,5.0,False,Desligado
188,Natan Alves,Feminino,Pleno,2020-02-18,,6539.27,20,20,2,200,68,58,1.4,False,Desligado
189,Bruno Souza,Masculino,Júnior,2024-05-25,,4567.48,7,20,4,501,68,37,1.8,False,Ativo
190,Tatiana Mendes,Feminino,Sênior,2020-03-08,2023-03-08,10565.47,32,20,4,200,59,43,1.3,False,Ativo
191,Diego Santos,Feminino,Júnior,2024-06-17,,4174.35,7,20,1,502,53,38,1.7,False,Ativo
192,Kamila Pereira,Feminino,Júnior,2024-05-31,,3636.82,0,30,1,501,24,16,4.2,False,Ativo
193,Diego Santos,Masculino,Júnior,2024-05-23,,3682.18,10,20,1,501,65,55,1.1,False,Desligado
194,Carla Oliveira,Feminino,Pleno,2021-02-08,,6830.29,10,30,1,400,13,7,4.9,True,Desligado
195,Mariana Rocha,Feminino,Pleno,2023-10-31,,6561.83,10,40,4,300,31,21,3.6,True,Ativo
196,Pedro Gomes,Não-binário,Sênior,2017-05-05,2020-05-04,10397.56,27,40,4,300,12,14,4.6,False,Ativo
197,Tatiana Mendes,Masculino,Sênior,2019-10-26,2024-10-24,10934.95,21,40,4,200,23,20,5.0,False,Ativo
198,Hugo Ribeiro,Não-binário,Sênior,2018-06-30,2021-06-29,12090.61,31,10,2,502,19,20,3.8,True,Desligado
199,Lucas Martins,Não-binário,Júnior,2025-08-04,,4345.41,7,30,1,501,13,4,3.3,True,Ativo
200,Pedro Gomes,Não-binário,Pleno,2020-01-02,,7342.4,10,20,1,200,49,53,2.0,True,Desligado
201,Lucas Martins,Feminino,Pleno,2023-12-13,2025-11-16,5803.1,20,10,3,501,32,12,3.5,False,Ativo
202,Tatiana Mendes,Não-binário,Pleno,2020-12-25,,7701.98,19,30,2,501,17,21,3.8,False,Desligado
203,Elena Rodrigues,Masculino,Pleno,2021-11-09,2022-12-18,8447.14,17,20,1,100,53,41,1.3,True,Ativo
204,Ana Silva,Feminino,Pleno,2020-04-08,,7697.75,15,30,3,501,24,5,4.7,False,Desligado
205,Carla Oliveira,Masculino,Sócio,2012-05-16,2018-06-01,20734.47,47,20,2,,47,45,1.8,False,Ativo
206,Felipe Costa,Masculino,Sênior,2020-05-28,2026-05-27,10424.98,28,40,1,400,21,9,3.4,False,Desligado
207,Lucas Martins,Feminino,Júnior,2024-01-04,,4141.41,3,40,2,100,17,22,3.7,False,Ativo
208,Mariana Rocha,Masculino,Júnior,2025-04-27,,4233.65,5,40,1,400,17,16,3.3,False,Ativo
209,Isabela Carvalho,Feminino,Pleno,2023-03-01,2024-03-31,7589.41,19,40,3,501,29,3,4.7,False,Ativo
210,Hugo Ribeiro,Não-binário,Pleno,2022-09-02,2024-02-02,8208.33,11,40,4,200,17,7,4.2,True,Ativo
211,Carla Oliveira,Masculino,Sênior,2020-10-31,,10165.45,22,20,1,300,62,47,1.8,False,Ativo
212,Vitor Xavier,Não-binário,Pleno,2023-04-18,,6758.78,11,40,1,300,15,11,4.8,False,Desligado
213,Pedro Gomes,Masculino,Pleno,2023-03-17,,5612.4,10,40,3,400,22,9,3.3,False,Desligado
214,Kamila Pereira,Feminino,Júnior,2024-11-06,,3966.42,7,30,3,501,22,10,4.5,True,Ativo
215,Gabriela Almeida,Masculino,Sênior,2021-08-15,,13402.35,25,10,2,501,34,18,3.9,False,Ativo
216,Gabriela Almeida,Feminino,Júnior,2024-02-29,,3874.24,8,10,2,502,24,22,4.9,True,Ativo
217,Pedro Gomes,Masculino,Júnior,2025-08-31,,4169.16,1,10,2,200,21,2,3.9,True,Ativo
218,Hugo Ribeiro,Não-binário,Pleno,2023-10-19,2025-01-31,6728.52,12,20,2,200,50,54,2.1,False,Ativo
219,Isabela Carvalho,Não-binário,Sênior,2019-05-18,2025-05-16,10481.94,32,30,3,300,12,18,5.0,False,Ativo
220,Diego Santos,Não-binário,Pleno,2022-09-13,2023-10-15,6329.45,13,30,3,501,28,9,4.8,False,Ativo
221,Elena Rodrigues,Não-binário,Pleno,2024-01-17,,6992.12,10,40,3,300,34,20,4.7,True,Ativo
222,Lucas Martins,Não-binário,Sênior,2019-11-05,2024-11-03,13444.23,35,20,4,200,68,52,2.1,True,Ativo
223,Lucas Martins,Feminino,Júnior,2024-08-16,,4616.31,1,30,1,501,27,3,4.8,False,Ativo
224,Renata Pinto,Feminino,Júnior,2024-05-02,,4801.25,5,10,4,400,25,20,4.8,True,Ativo
225,Felipe Costa,Não-binário,Pleno,2024-05-14,2025-06-24,7393.1,14,20,3,400,50,53,2.1,True,Ativo
226,Natan Alves,Não-binário,Júnior,2025-10-10,,4144.11,0,10,2,502,22,18,3.5,True,Ativo
227,Lucas Martins,Feminino,Júnior,2024-11-15,,3693.4,7,10,2,300,35,18,4.3,True,Ativo
228,Pedro Gomes,Masculino,Sênior,2019-01-06,2023-01-05,13154.04,24,40,2,300,30,18,3.5,True,Ativo
229,Isabela Carvalho,Não-binário,Sênior,2021-04-29,2024-04-28,9986.51,23,10,4,400,24,5,4.1,False,Ativo
230,Ana Silva,Não-binário,Júnior,2024-11-04,,4131.31,8,20,2,100,68,54,1.2,True,Ativo
231,Vitor Xavier,Feminino,Júnior,2024-07-23,,4666.94,0,10,4,502,29,17,4.8,True,Ativo
232,Ana Silva,Feminino,Júnior,2024-01-14,,4507.45,1,40,3,502,35,5,4.8,True,Ativo
233,Isabela Carvalho,Masculino,Júnior,2025-04-20,,3575.12,1,20,4,200,48,36,1.0,True,Desligado
